ETF Name,Ticker,Country,Sector,
$ Corp Bond,$ Corp Bond,LQGH,UK,
$ Floating Rate Bond,$ Floating Rate Bond,FLOS,UK,
Acacia Mining,Acacia Mining,,UK,Gold Mining
Ageing Population,Ageing Population,AGES,UK,
Asia Dragon,Asia Dragon,DGN,UK,
Charter Comms,Charter Comms,CHTR,UK,
CYBG,CYBG,,UK,Banking
Debenhams,Debenhams,,UK,Retail
EM Bond,EM Bond,EMHG,UK,
EURO STOXX 50,EURO STOXX 50,CS51,UK,
EURO STOXX Div,EURO STOXX Div,IDVY,UK,
Fallen Angels,Fallen Angels,WIGG,UK,
FTSE 100,FTSE 100,VUKE,UK,
FTSE 100,FTSE 100,ISF,UK,
FTSE 250,FTSE 250,VMID,UK,
FTSE 250,FTSE 250,MIDD,UK,
FTSE All World,FTSE All World,VWRL,UK,
FTSE All World Div,FTSE All World Div,VHYL,UK,
FTSE Dev Europe,FTSE Dev Europe,VEUR,UK,
FTSE EM,FTSE EM,VFEM,UK,
FTSE Japan,FTSE Japan,VJPN,UK,
FTSE UK All Share,FTSE UK All Share,FTAD,UK,
Global Agg. Bond,Global Agg. Bond,AGBP,UK,
Global Clean Energy,Global Clean Energy,INRG,UK,
Global Corp Bond,Global Corp Bond,CRHG,UK,
Global Govt Bond,Global Govt Bond,IGLH,UK,
Global Water,Global Water,IH2O,UK,
Gold Producers,Gold Producers,SPGP,UK,
Greene King,Greene King,,UK,Food & Bev
HomeServe,HomeServe,HSV,UK,Repair
HY Corp Bond,HY Corp Bond,SSHY,UK,
HY Corp Bond Hdgd,HY Corp Bond Hdgd,STHS,UK,
Indexed UK Gilts,Indexed UK Gilts,INXG,UK,
J.P.M. EM $ Govt Bnd,J.P.M. EM $ Govt Bnd,SEMB,UK,
J.P.M. EM Govt Bnd,J.P.M. EM Govt Bnd,SEML,UK,
Japan Small Cap,Japan Small Cap,ISJP,UK,
Merlin,Merlin,,UK,Attractions
Millennium Hotels,Millennium Hotels,,UK,Hotels
Momentum Factor,Momentum Factor,IWFM,UK,
MSCI China,MSCI China,HMCH,UK,
MSCI EM,MSCI EM,EMIM,UK,
MSCI World,MSCI World,IWDG,UK,
NASDAQ 100,NASDAQ 100,EQQQ,UK,
Pacific Ex-Japan,Pacific Ex-Japan,CPJ1,UK,
Paddy Power Betfair,Paddy Power Betfair,,UK,Gambling
Physical Gold,Physical Gold,SGLN,UK,
Physical Silver,Physical Silver,PHSP,UK,
Robo Global,Robo Global,ROBG,UK,
Robotics,Robotics,RBTX,UK,
Russell 2000,Russell 2000,XRSG,UK,
Russell Midcap,Russell Midcap,XRSS,UK,
S&P 500,S&P 500,GSPX,UK,
S&P 500,S&P 500,VUSA,UK,
S&P 500,S&P 500,IUSA,UK,
S&P 500,S&P 500,CSP1,UK,
S&P 500 Financials Sector,S&P 500 Financials Sector,UIFS,UK,
S&P Div Aristocrat,S&P Div Aristocrat,USDV,UK,
S&P UK Div,S&P UK Div,UKDV,UK,
Salesforce,Salesforce,,UK,Software
Schroder Asia Pacific Fund,Schroder Asia Pacific Fund,SDP,,
Small Cap 600,Small Cap 600,ISP6,,
Smaller Companies,Smaller Companies,BGSC,,
Smaller Companies,Smaller Companies,BRSC,,
Sirius Minerals,Sirius Minerals,,UK,Mining
Snap,Snap,,UK,App
Sports Direct,Sports Direct,,UK,Retail
STOXX Europe 600,STOXX Europe 600,XSX6,,
UK All Share,UK All Share,FTAL,UK,Exchange
UK Dividend,UK Dividend,IUKD,,
UK Gilts,UK Gilts,VGOV,,
UK Gilts 0-5yr,UK Gilts 0-5yr,IGLS,,
UK Oil & Gas,UK Oil & Gas,UKOG,,
UK Property,UK Property,IUKP,,
Ultrashort $,Ultrashort $,ERNU,,
US Corp Bond,US Corp Bond,VUVP,,
US Gvt Bnd 1-3yr,US Gvt Bnd 1-3yr,CU31,,
US Gvt Bnd 20+ yr,US Gvt Bnd 20+ yr,IDTG,,
US Gvt Bnd 7-10yr,US Gvt Bnd 7-10yr,TRXS,,
US Gvt Bnd 7-10yr,US Gvt Bnd 7-10yr,IBMT,,
US HY Corp Bond,US HY Corp Bond,IHHG,,
US Tech Sector,US Tech Sector,IITU,,
£ Corp Bond,£ Corp Bond,SLXX,,
£ Corp Bond 0-5yr,£ Corp Bond 0-5yr,IS15,,
£ Corp Bond ex Fin,£ Corp Bond ex Fin,ISXF,,
£ Ultrashort,£ Ultrashort,ERNS,,
